title,release,day_audience,total_audience,screen,Nationality,distributor,grade,genre,director,actor,date,day,weekday,holiday
컨택트,2017-02-02,125,633247,7,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,"SF,드라마,스릴러",드니빌뇌브,"에이미아담스,제레미레너,포레스트휘테커",2017-03-13,40,월요일,0
쿵푸팬더3,2016-01-28,36,3983438,9,미국,씨제이이앤엠(주),전체관람가,"애니메이션,액션,어드벤처","여인영,알레산드로칼로니","잭블랙,안젤리나졸리,더스틴호프만,성룡,세스로건,루시리우,데이빗크로스,J.K.시몬스",2016-03-07,40,월요일,0
클로버필드10번지,2016-04-07,30,357673,1,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"미스터리,스릴러",댄트라첸버그,"메리엘리자베스윈스티드,존굿맨,존갤러거주니어",2016-05-16,40,월요일,0
킹스맨시크릿에이전트,2015-02-11,117369,5334076,546,미국,이십세기폭스코리아(주),청소년관람불가,"액션,스릴러",매튜본,"콜린퍼스,태런에저튼,사무엘L.잭슨,마이클케인",2015-03-22,40,일요일,1
킹오브프리즘,2016-08-11,311,55219,9,일본,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다마사카즈,NA,2016-09-19,40,월요일,0
킹오브프리즘-프라이드더히어로,2017-06-10,196,56298,15,일본,(주)박수엔터테인먼트,15세이상관람가,애니메이션,히시다마사카즈,NA,2017-07-19,40,수요일,0
타임패러독스,2015-01-07,6,82196,2,호주,(유)조이앤시네마,15세이상관람가,"SF,스릴러","마이클스피어리그,피터스피어이그","에단호크,노아테일러,사라스누크",2015-02-15,40,일요일,1
타잔3D,2014-01-09,24,595762,1,독일,(주)싸이더스,전체관람가,"애니메이션,액션,어드벤처",라인하드클루스,"켈란루츠,스펜서로크",2014-02-16,39,일요일,1
타짜-신의손,2014-09-03,9522,3970495,85,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",청소년관람불가,드라마,강형철,"최승현,신세경,곽도원,유해진,김윤석,이하늬,김인권,이경영,고수희,오정세,박효주,백승찬,양성우,우민호,윤지환,이승원,이승훈,이영민,이원호,정동근,조연우,한준우,곽수정,홍승철,황현서,김도엽,김원영,김장미,문도선,이준혁,김새벽,배유람,안재홍,이동휘,김원해,최종률",2014-10-12,40,일요일,1
탐정더비기닝,2015-09-24,51,2623266,9,한국,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",김정훈,"권상우,성동일,박해준,이승준,조복래,오정세,박준면,이일화,서영희,강민지,홍서현,천유나,차승연,정종훈,정승연,이현기,이찬희,김승배,김은지,김태훈,김하늘,김희영,모일영,박민철,박성일,박시영,박지혜,최성원,홍은택,이해영,지대한",2015-11-02,40,월요일,0
탐정홍길동사라진마을,2016-05-04,4,1429882,1,한국,씨제이이앤엠(주),15세이상관람가,"드라마,액션",조성희,"이제훈,김성균,박근형,정성화,고아라,노정의,김하나,유승목,박정원,박지훈,오현암,유정래,윤상훈,이민아,이민지,이상희,정준용",2016-06-12,40,일요일,1
태풍이지나가고,2016-07-27,418,87403,9,일본,(주)티캐스트,12세이상관람가,드라마,고레에다히로카즈,"아베히로시,키키키린,마키요코,코바야시사토미",2016-09-04,40,일요일,1
터널,2016-08-10,2497,7117207,111,한국,(주)쇼박스,12세이상관람가,드라마,김성훈,"하정우,배두나,오달수,김종수,임한빈,정민희,송민석,윤성민,이동진,이상희,최춘범,권승구",2016-09-18,40,일요일,1
터닝메카드W블랙미러의부활,2017-01-18,10,428842,1,한국,씨네그루(주)키다리이엔티,전체관람가,애니메이션,홍헌표,"소연,윤아영,신용우,장광,강호철,안영미,윤미나",2017-02-26,40,일요일,1
터미네이터제니시스,2015-07-02,582,3234948,11,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,SF,스릴러",앨런테일러,"아놀드슈왈제네거,제이슨클락,에밀리아클라크,제이코트니,J.K.시몬스,다요오케니이,맷스미스,코트니B.반스,이병헌,아론V.윌리엄슨",2015-08-10,40,월요일,0
테이큰3,2015-01-01,80,2006561,5,미국,이십세기폭스코리아(주),15세이상관람가,"액션,범죄,스릴러",올리비에메가턴,"리암니슨,팜케얀센,매기그레이스,존그리스,포레스트휘테커",2015-02-04,35,수요일,0
트랜센던스,2014-05-14,13,692826,1,미국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"SF,액션,드라마",월리피스터,"조니뎁,레베카홀,모건프리먼,폴베타니,킬리언머피",2014-06-17,35,화요일,0
트랜스포머사라진시대,2014-06-25,67,5295836,1,미국,씨제이이앤엠(주),12세이상관람가,"액션,SF,어드벤처",마이클베이,"마크월버그,니콜라펠츠,잭레이너,스탠리투치,리빙빙",2014-08-01,38,금요일,0
트랜스포머최후의기사,2017-06-21,273,2614603,1,미국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"액션,어드벤처,SF",마이클베이,"마크월버그,안소니홉킨스,로라하드독,조쉬더하멜",2017-07-26,36,수요일,0
트럼보,2016-04-07,28,61214,4,미국,"그린나래미디어(주),(주)프레인글로벌",15세이상관람가,드라마,제이로치,"브라이언크랜스톤,다이안레인,헬렌미렌,엘르패닝,루이스C.K.,존굿맨",2016-05-16,40,월요일,0
트롤,2017-02-16,5,675338,1,미국,씨제이이앤엠(주),전체관람가,애니메이션,"마이크미첼,월트도른","안나켄드릭,저스틴팀버레이크,주이디샤넬,크리스토퍼민츠플라세,크리스틴바란스키,제프리탬보,러셀브랜드,쿠널나이어,그웬스테파니,제임스코든,존클리즈,쿠벤자네왈리스,월트도른,이성경,박형식,김하영,엄상현,전숙경,장광,이현,김명준,김도영,신용우",2017-03-27,40,월요일,0
특별시민,2017-04-26,100,1361734,5,한국,(주)쇼박스,15세이상관람가,드라마,박인제,"최민식,곽도원,심은경,문소리,라미란,류혜영,이기홍,진선규,권용덕,이주연",2017-06-04,40,일요일,1
파더앤도터,2015-12-10,8,61027,1,미국,(주)박수엔터테인먼트,15세이상관람가,드라마,가브리엘무치노,"아만다사이프리드,러셀크로우,아론폴",2016-01-18,40,월요일,0
파도가지나간자리,2017-03-08,33,82535,2,미국,CGV아트하우스,15세이상관람가,"드라마,멜로/로맨스",데릭시엔프랜스,"마이클패스벤더,알리시아비칸데르,레이첼와이즈,에밀리바클레이,리온포드",2017-04-16,40,일요일,1
판도라,2016-12-07,3988,4574195,66,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,스릴러",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성",2017-01-15,40,일요일,1
패션왕,2014-11-06,49,592904,9,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",오기환,"김다율(김아현),주원,최진리,안재현,박세영,김성오,윤혜빈,이대수,이상훈,이정연,이주영,이주희,이효재,정라엘,최우진,기안84,김나영,김성준,김승주,박상욱,배유람,이일화,이동휘",2014-12-10,35,수요일,0
패신저스,2017-01-04,104,668665,2,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,"어드벤처,SF",모튼틸덤,"크리스프랫,제니퍼로렌스,마이클쉰,앤디가르시아,로렌스피쉬번",2017-02-12,40,일요일,1
포켓몬더무비XY&Z「볼케니온기계왕국의비밀」,2016-12-22,22,281989,1,일본,(주)이수C&E,전체관람가,"애니메이션,어드벤처,판타지,가족",유야마쿠니히코,NA,2017-01-28,38,토요일,1
포켓몬더무비XY후파광륜의초마신,2015-12-23,59,300466,1,일본,(주)이수C&E,전체관람가,"애니메이션,어드벤처,판타지",유야마쿠니히코,NA,2016-01-31,40,일요일,1
폼페이최후의날,2014-02-20,179,1373873,16,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,드라마",폴W.S.앤더슨,"킷해링턴,에밀리브라우닝,키퍼서덜랜드,캐리앤모스,제시카루카스,자레드해리스,커리그레이엄",2014-03-26,35,수요일,0
표적,2014-04-30,28,2841031,3,한국,씨제이이앤엠(주),15세이상관람가,"액션,드라마",창,"류승룡,유준상,이진욱,김성령,조여정,조은지,진구,강구현,배정현,서동필,임일규,정순태,홍성민,김동준,김대명,김영재,이현욱,장준녕",2014-06-08,40,일요일,1
프란시스하,2014-07-17,120,71417,5,미국,그린나래미디어(주),15세이상관람가,"코미디,멜로/로맨스",노아바움백,"그레타거윅,믹키섬너,그레이스검머,아담드라이버",2014-08-25,40,월요일,0
프랭크,2014-09-25,43,51772,3,영국,(주)영화사진진,15세이상관람가,"코미디,드라마",레니에이브러햄슨,"마이클패스벤더,도널글리슨,매기질렌할,스쿳맥네이리",2014-11-03,40,월요일,0
프리덤,2015-11-19,159,105024,2,미국,(주)씨타마운틴픽쳐스,12세이상관람가,"드라마,가족",피터쿠센스,"쿠바구딩주니어,베르나르드포처,윌리엄새들러",2015-12-28,40,월요일,0
프리즌,2017-03-23,212,2930828,10,한국,(주)쇼박스,청소년관람불가,"범죄,액션",나현,"한석규,김래원,정웅인,조재윤,신성록,곽민호",2017-05-01,40,월요일,0
플로렌스,2016-08-24,5,139586,1,영국,(주)이수C&E,15세이상관람가,드라마,스티븐프리어스,"메릴스트립,휴그랜트",2016-10-02,40,일요일,1
플립,2017-07-13,165,353531,6,미국,(주)팝엔터테인먼트,13세이상관람가,"드라마,멜로/로맨스",롭라이너,"매들린캐롤,캘런맥오리피",2017-08-15,35,화요일,0
픽셀,2015-07-16,3,681945,1,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,"액션,어드벤처",크리스콜럼버스,"아담샌들러,케빈제임스,미셸모나한,피터딘클리지,애슐리벤슨",2015-08-19,35,수요일,0
하늘을걷는남자,2015-10-28,38,238205,1,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,드라마,로버트저메키스,"조셉고든레빗,벤킹슬리,샬롯르본",2015-12-06,40,일요일,1
하루,2017-06-15,2,1129602,1,한국,CGV아트하우스,15세이상관람가,스릴러,조선호,"김명민,변요한,유재명,조은형,신혜선",2017-07-24,40,월요일,0
