title,aud_total,holiday,drama,comedy,advanture,criminal.thrill,documentary,horror,family,etc,series,aud_18,director,distributor_value,expect,positive,comp_3,first_day_aud,screen
뷰티인사이드,1557590,0,0,0,0,0,0,0,0,0,0,0,0,2,17219,0.902623907,2,262475,1279
임금님의사건수첩,1560713,0,0,1,1,0,0,0,0,0,0,0,1,3,3320,0.900445765,5,204667,1900
23아이덴티티,1562611,0,0,0,0,1,0,0,0,0,0,0,0,1,3751,0.866438356,7,268063,1154
콩스컬아일랜드,1595383,0,0,0,1,0,0,0,0,0,0,0,0,2,2936,0.921259843,1,188145,1601
오늘의연애,1630948,0,0,1,0,0,0,0,0,0,0,0,3,3,19766,0.839068826,4,294805,1175
인투더스톰,1631607,1,0,0,0,1,0,0,0,0,0,0,0,2,1559,0.933088909,5,222803,911
레버넌트죽음에서돌아온자,1670349,0,1,0,1,0,0,0,0,0,0,0,0,2,5179,0.887165021,2,259367,1523
끝까지간다,1698600,0,0,0,0,1,0,0,0,0,0,0,0,3,1320,0.978112175,6,213450,1254
인턴,1699555,1,0,1,0,0,0,0,0,0,0,0,0,2,5224,0.988580385,7,138897,752
스파이,1699783,0,0,1,0,0,0,0,0,0,0,0,0,2,2016,0.976647639,4,188723,1300
007스펙터,1711319,0,0,0,1,0,0,0,0,0,1,0,0,1,6919,0.794788274,1,356520,2056
겟아웃,1799491,0,0,0,0,1,0,1,0,0,0,0,0,1,5068,0.939707674,2,201027,1153
메이즈러너,1819732,0,0,0,0,1,0,0,0,0,0,0,0,2,35841,0.929439252,1,214325,1019
노아,1821633,0,1,0,1,0,0,0,0,0,0,0,0,3,1674,0.550505051,2,373571,1644
악의연대기,1839347,0,0,0,0,1,0,0,0,0,0,0,0,3,5113,0.923922232,2,296140,1408
굿바이싱글,1841771,0,1,1,0,0,0,0,0,0,0,0,0,3,6176,0.946022727,3,256035,1337
수어사이드스쿼드,1848184,0,0,0,0,0,0,0,0,0,0,0,0,2,32475,0.803356555,3,654993,1556
루시,1848406,1,0,0,0,0,0,0,0,0,0,1,0,1,12047,0.70865467,6,272932,958
로건,1859453,0,0,0,0,0,0,0,0,0,0,1,0,2,4093,0.973499189,2,446883,1666
강남1970,1865834,0,1,0,0,0,0,0,0,0,0,1,3,3,21361,0.846564376,4,291904,1380
테이큰3,1877515,0,0,0,0,1,0,0,0,0,1,0,0,2,8326,0.917269076,5,662563,1212
봉이김선달,1899601,0,0,0,0,0,0,0,0,0,0,0,1,3,20055,0.930440771,1,269290,1507
