title,eightdays_aud,drama,action,comedy,fantasy.SF,advanture,criminal.thrill,traditional,romance,documentary,horror,family,war,etc,series,holiday,aud_18,korea,usa,actors,director,distributor_value,expect,comp_before,comp_after,first_screen
치외법권,326903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3298,3,4,405
동주,387085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,8002,5,3,374
다이버전트,332718,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,630,2,6,463
스텝업올인,378230,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,2473,1,1,267
아빠는딸,357625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,5211,4,3,460
헌츠맨윈터스워,346027,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,2702,4,1,518
"로봇,소리",342118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,3,5859,0,2,601
나의독재자,342524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,3,2953,2,4,637
고스트버스터즈,351507,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2374,0,4,418
오피스,347983,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,3593,4,1,382
원라인,351725,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,3962,0,1,613
소녀괴담,369978,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3750,0,2,325
어쌔신크리드,344211,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,5645,0,4,540
미비포유,378026,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,5859,2,2,384
주온끝의시작,357770,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,1608,1,1,335
판타스틱4,359522,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,3209,2,5,432
마담뺑덕,384207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,1,3,7380,0,9,536
황제를위하여,394283,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,2734,1,1,366
"고산자,대동여지도",445665,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,6,3,3583,0,5,764
킹아서제왕의검,383668,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,1115,0,2,554
인시디어스3,419904,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,3097,0,6,331
나를잊지말아요,391766,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,0,3,6851,1,6,503
널기다리며,414657,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,8,0,2,3993,0,2,463
"협녀,칼의기억",399581,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,3,5465,0,2,572
런던해즈폴른,418095,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1325,0,2,457
설리허드슨강의기적,418062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,2082,0,6,537
순수의시대,411374,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,2,3,7092,0,3,512
위플래쉬,450749,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3127,0,4,326
얼라이드,418161,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,3,1400,0,2,488
패션왕,446491,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,39795,0,2,518
열정같은소리하고있네,444742,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2,2,8738,2,3,550
가려진시간,434830,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,12208,1,3,884
리얼,426567,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,3,25803,1,3,970
신데렐라,433655,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4666,0,3,424
몬스터,436870,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,1,3,83,0,2,469
트리플엑스리턴즈,434853,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,3,1709,1,5,581
그레이트월,444800,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,1501,4,5,593
채피,450055,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,1,2671,0,4,524
브리짓존스의베이비,463038,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,1,3519,0,6,440
하트오브더씨,493920,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,1575,0,4,501
컨택트,474040,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2339,1,2,509
미쓰와이프,486722,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,4930,0,2,413
메카닉리크루트,470847,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2497,3,1,290
